gender,ssc_p,hsc_p,degree_p,degree_t,work_exp,etest_p,coding_score,soft_skills_score,internships,projects_count,status,salary
M,59.9,84.9,78.0,Comm&Mgmt,Yes,87.0,74.8,60.7,1,2,Placed,11.2
M,69.6,72.5,66.6,Sci&Tech,Yes,81.4,84.5,71.1,0,4,Placed,10.8
F,69.0,64.1,66.2,Sci&Tech,Yes,71.5,74.7,64.7,1,2,Placed,10.2
F,75.4,79.7,74.0,Sci&Tech,No,67.0,65.2,50.4,1,2,Placed,8.3
F,81.0,58.3,75.6,Sci&Tech,No,47.7,60.6,45.5,1,1,Not Placed,0.0
M,81.5,75.7,73.0,Sci&Tech,No,59.1,82.5,72.5,1,3,Placed,10.9
M,65.6,76.1,74.1,Sci&Tech,No,94.9,48.1,63.8,0,2,Not Placed,0.0
F,70.2,82.7,88.0,Sci&Tech,No,56.6,54.4,63.9,1,2,Not Placed,0.0
M,75.1,98.0,81.7,Sci&Tech,Yes,74.3,62.4,77.7,2,2,Placed,10.4
M,69.3,74.7,72.9,Sci&Tech,No,84.1,85.3,82.9,1,1,Placed,11.1
M,89.7,63.9,80.4,Sci&Tech,No,56.9,73.3,67.0,1,2,Placed,10.1
M,77.4,69.7,60.7,Sci&Tech,No,74.2,54.4,66.3,3,1,Not Placed,0.0
F,80.1,48.8,75.0,Sci&Tech,No,83.3,63.7,75.5,2,2,Placed,8.6
M,79.3,61.7,89.1,Sci&Tech,No,72.1,59.4,55.1,0,2,Not Placed,0.0
F,84.9,65.1,68.8,Comm&Mgmt,No,99.0,58.1,72.5,0,2,Placed,5.8
M,74.0,63.7,62.5,Comm&Mgmt,Yes,52.0,81.7,76.1,2,3,Placed,11.6
M,57.7,71.8,64.5,Comm&Mgmt,Yes,84.7,48.8,77.5,2,3,Placed,7.5
M,76.4,60.1,60.1,Comm&Mgmt,No,69.9,90.5,48.7,3,3,Placed,11.9
M,64.8,83.5,63.2,Sci&Tech,No,81.3,79.6,61.6,2,1,Placed,10.0
F,66.2,70.0,67.3,Sci&Tech,No,77.3,83.3,60.3,1,1,Placed,11.2
F,78.5,69.9,56.9,Sci&Tech,No,63.2,61.5,71.1,1,2,Not Placed,0.0
F,85.6,66.1,71.2,Comm&Mgmt,Yes,74.7,65.9,75.3,0,4,Placed,8.5
F,72.2,71.9,80.0,Comm&Mgmt,Yes,49.7,47.9,86.5,0,3,Placed,6.2
F,75.4,79.9,61.9,Sci&Tech,No,79.2,60.7,64.6,1,3,Not Placed,0.0
F,90.7,59.6,86.2,Sci&Tech,No,75.6,74.9,64.5,1,2,Placed,10.5
M,74.6,62.1,76.1,Sci&Tech,Yes,79.7,86.1,82.6,1,2,Placed,13.1
M,98.0,66.4,81.3,Sci&Tech,No,84.7,52.5,73.3,2,2,Placed,7.5
M,78.2,53.8,64.4,Comm&Mgmt,Yes,76.4,62.9,83.9,0,1,Placed,7.5
M,52.6,60.2,79.5,Comm&Mgmt,No,73.8,65.9,73.2,1,1,Not Placed,0.0
M,80.3,64.3,60.1,Sci&Tech,Yes,61.4,48.5,57.3,0,4,Not Placed,0.0
M,76.2,80.5,79.9,Others,No,63.5,76.3,55.3,1,1,Placed,11.0
F,86.2,73.2,72.7,Comm&Mgmt,Yes,86.2,57.9,52.9,2,1,Placed,9.9
M,79.4,72.3,76.5,Sci&Tech,No,89.2,65.3,77.3,1,1,Placed,8.6
M,70.5,80.2,59.2,Sci&Tech,Yes,69.1,61.7,83.1,3,4,Placed,8.8
M,58.5,68.4,62.0,Sci&Tech,Yes,72.6,56.9,90.3,0,2,Placed,5.5
M,69.7,74.7,77.0,Sci&Tech,No,61.1,67.9,79.3,1,2,Not Placed,0.0
F,62.6,68.8,61.5,Sci&Tech,No,86.1,65.0,82.8,1,4,Placed,7.1
M,65.6,73.2,75.6,Sci&Tech,No,80.0,62.8,63.6,1,2,Placed,8.4
F,78.5,63.0,57.3,Sci&Tech,Yes,95.3,57.8,57.3,2,2,Placed,7.7
F,90.4,45.0,79.5,Sci&Tech,No,61.5,72.5,79.4,1,1,Placed,10.4
M,76.3,68.4,58.7,Comm&Mgmt,No,67.5,91.2,74.6,2,1,Placed,11.4
M,58.8,87.1,76.5,Sci&Tech,No,74.8,70.0,71.2,0,3,Placed,8.8
F,76.9,81.1,77.3,Sci&Tech,Yes,79.8,81.9,74.3,2,3,Placed,14.1
F,85.2,81.6,64.0,Sci&Tech,No,69.4,48.5,73.6,0,2,Not Placed,0.0
F,65.3,84.8,76.8,Others,Yes,61.5,70.2,84.1,2,2,Placed,11.0
F,70.5,71.1,73.6,Sci&Tech,Yes,82.6,52.6,84.2,1,2,Placed,7.9
M,72.2,72.4,65.6,Sci&Tech,No,80.7,47.3,76.0,1,1,Not Placed,0.0
M,63.4,62.6,60.9,Others,Yes,61.0,57.6,79.3,1,1,Placed,6.2
M,79.1,66.2,51.4,Comm&Mgmt,No,88.3,84.7,75.7,3,1,Placed,10.2
F,70.7,77.4,74.5,Comm&Mgmt,No,86.0,81.3,64.9,0,2,Placed,9.6
F,76.6,84.4,55.4,Sci&Tech,No,73.6,71.4,78.3,1,3,Not Placed,0.0
M,62.2,68.3,72.0,Sci&Tech,No,73.0,46.5,54.7,2,2,Not Placed,0.0
M,67.2,64.6,68.4,Comm&Mgmt,Yes,78.6,65.3,81.6,1,1,Placed,9.3
M,79.9,70.0,77.8,Others,Yes,61.7,72.2,56.9,0,2,Placed,10.3
M,67.9,77.2,68.0,Comm&Mgmt,No,72.4,70.5,73.1,1,3,Placed,8.4
F,91.0,52.7,67.7,Comm&Mgmt,Yes,46.2,42.2,60.7,1,1,Not Placed,0.0
F,67.6,45.0,78.3,Sci&Tech,No,82.5,55.5,76.1,2,1,Placed,8.0
F,74.5,63.4,74.4,Comm&Mgmt,Yes,53.3,67.1,69.6,2,2,Placed,10.7
M,82.3,55.4,74.2,Sci&Tech,Yes,90.0,75.5,52.5,1,3,Placed,11.3
M,56.4,63.9,75.7,Sci&Tech,No,68.0,37.3,74.6,3,2,Placed,5.8
F,52.6,68.2,55.6,Sci&Tech,Yes,69.5,65.7,63.6,1,3,Not Placed,0.0
F,55.2,64.6,78.6,Sci&Tech,No,64.5,70.0,79.7,0,4,Not Placed,0.0
M,85.9,87.4,77.1,Sci&Tech,No,68.5,79.9,70.0,0,3,Placed,9.6
F,65.9,73.9,60.8,Sci&Tech,No,89.0,77.7,74.3,1,2,Placed,8.6
M,98.0,73.6,68.6,Comm&Mgmt,Yes,42.1,76.2,59.5,0,2,Not Placed,0.0
M,65.8,77.5,70.6,Sci&Tech,Yes,87.3,56.8,63.5,3,1,Placed,9.5
M,74.0,56.3,69.7,Comm&Mgmt,Yes,76.1,41.3,65.0,2,4,Not Placed,0.0
M,89.0,82.5,74.3,Sci&Tech,No,57.5,62.5,79.4,0,2,Not Placed,0.0
M,94.1,69.1,85.3,Sci&Tech,No,59.1,82.0,88.5,1,1,Placed,12.6
M,94.7,78.0,81.8,Sci&Tech,Yes,92.1,87.5,61.1,2,2,Placed,14.2
F,85.3,57.1,57.9,Sci&Tech,No,60.7,77.9,81.8,3,2,Placed,9.5
M,83.3,51.4,77.2,Sci&Tech,Yes,58.2,74.0,46.1,2,2,Placed,11.5
M,78.5,79.8,84.3,Sci&Tech,No,85.6,73.3,56.9,1,2,Placed,10.4
F,80.6,74.5,74.9,Sci&Tech,No,76.1,60.2,59.5,2,2,Placed,8.0
M,65.9,59.2,81.9,Others,No,60.7,66.2,55.1,1,3,Placed,9.0
M,63.0,59.6,91.1,Sci&Tech,No,74.6,91.4,52.6,1,2,Placed,14.1
F,72.0,83.5,81.2,Comm&Mgmt,No,59.7,54.8,74.5,0,2,Not Placed,0.0
M,70.1,55.7,73.5,Sci&Tech,Yes,85.2,90.6,67.6,0,2,Placed,12.1
M,67.0,89.7,81.5,Comm&Mgmt,No,84.7,63.5,74.2,1,2,Placed,9.5
M,79.7,59.2,72.4,Comm&Mgmt,Yes,78.4,86.6,77.6,0,3,Placed,12.1
M,82.5,77.7,71.2,Comm&Mgmt,No,76.3,48.3,72.9,0,2,Placed,4.3
F,73.0,66.1,67.5,Sci&Tech,No,93.1,76.2,77.2,2,2,Placed,10.0
F,88.3,77.2,86.6,Sci&Tech,No,72.0,57.7,69.2,0,1,Not Placed,0.0
F,59.4,63.5,62.8,Sci&Tech,No,57.8,48.2,56.9,1,4,Not Placed,0.0
F,69.9,68.0,86.3,Others,No,77.4,71.1,81.6,1,2,Placed,10.3
F,64.1,70.5,76.0,Comm&Mgmt,No,97.0,82.1,63.5,3,3,Placed,13.1
M,51.5,58.0,57.0,Others,No,59.8,56.2,59.7,1,1,Not Placed,0.0
F,71.1,78.9,74.7,Sci&Tech,Yes,67.7,47.0,68.0,0,1,Not Placed,0.0
M,70.7,63.8,50.0,Comm&Mgmt,Yes,77.0,66.7,60.0,1,2,Placed,6.6
F,88.6,67.3,77.3,Others,Yes,71.4,66.8,65.4,2,3,Placed,10.9
F,78.9,58.1,79.9,Sci&Tech,Yes,60.2,75.7,73.8,3,2,Placed,13.6
M,60.7,45.0,65.1,Sci&Tech,No,85.5,81.3,73.8,1,4,Placed,9.6
M,92.4,67.7,72.2,Comm&Mgmt,Yes,99.0,67.2,60.1,1,2,Placed,9.0
M,85.4,98.0,90.5,Comm&Mgmt,No,74.4,94.0,64.6,2,2,Placed,16.1
M,78.4,79.4,65.9,Comm&Mgmt,Yes,61.2,71.1,81.8,0,1,Not Placed,0.0
F,69.5,69.8,60.4,Sci&Tech,Yes,53.4,63.2,75.5,1,3,Not Placed,0.0
F,61.4,66.8,85.8,Comm&Mgmt,No,75.1,45.4,92.8,1,1,Not Placed,0.0
M,67.9,70.3,90.6,Sci&Tech,No,85.2,64.3,83.0,0,3,Placed,9.5
M,84.0,76.6,71.0,Sci&Tech,No,77.7,63.3,82.6,1,4,Placed,7.3
M,92.7,55.8,81.1,Sci&Tech,No,72.0,81.4,54.7,0,4,Placed,10.1
M,89.0,83.4,84.4,Comm&Mgmt,No,64.9,74.5,78.4,1,2,Placed,11.2
M,66.6,78.6,63.6,Comm&Mgmt,Yes,58.9,51.5,69.4,3,2,Placed,7.1
M,59.7,78.6,66.1,Sci&Tech,No,82.0,70.4,63.9,0,3,Placed,7.1
F,73.5,75.3,83.3,Sci&Tech,No,83.0,77.4,71.8,2,1,Placed,11.9
M,52.5,70.2,87.9,Comm&Mgmt,No,53.5,89.4,80.4,0,2,Placed,12.9
M,75.6,78.1,76.6,Sci&Tech,Yes,91.1,80.4,75.5,1,1,Placed,12.1
F,70.4,77.1,62.2,Comm&Mgmt,No,78.9,78.7,60.3,0,2,Not Placed,0.0
M,66.9,65.8,90.9,Sci&Tech,Yes,88.8,68.8,78.2,3,1,Placed,13.8
F,54.5,63.1,65.7,Sci&Tech,Yes,55.9,73.4,63.0,2,1,Placed,10.4
F,77.6,71.2,67.6,Sci&Tech,Yes,55.6,85.5,72.4,1,2,Placed,12.4
M,66.1,88.6,74.4,Sci&Tech,No,70.2,49.3,66.7,2,2,Placed,7.1
M,59.1,55.1,86.5,Comm&Mgmt,No,78.0,63.1,67.6,1,2,Placed,8.8
M,45.0,52.4,79.5,Sci&Tech,No,93.6,57.2,78.4,3,1,Placed,9.3
M,71.7,72.0,75.1,Sci&Tech,No,80.5,73.3,58.6,1,2,Placed,9.8
M,91.5,70.6,75.6,Comm&Mgmt,No,69.1,85.2,91.4,3,1,Placed,13.1
F,90.3,72.1,71.4,Sci&Tech,Yes,59.7,59.6,50.0,1,2,Placed,8.8
M,67.0,72.9,76.6,Sci&Tech,No,86.8,34.5,63.4,0,2,Not Placed,0.0
M,65.4,67.3,48.0,Others,No,60.4,62.2,74.1,1,2,Not Placed,0.0
M,77.2,87.9,68.0,Comm&Mgmt,Yes,91.5,80.8,76.4,0,3,Placed,9.2
F,61.0,50.8,73.4,Sci&Tech,No,68.6,75.5,68.9,1,2,Placed,9.2
M,75.3,60.1,59.5,Others,No,91.1,74.0,69.4,1,3,Placed,7.7
M,80.4,68.8,74.9,Comm&Mgmt,No,80.1,64.1,74.5,1,2,Placed,8.0
M,85.5,50.3,69.0,Sci&Tech,No,70.4,50.1,67.5,0,2,Not Placed,0.0
F,70.9,67.9,88.6,Sci&Tech,No,65.8,75.2,85.3,0,2,Placed,11.5
M,69.8,89.9,86.7,Comm&Mgmt,No,67.9,56.3,79.2,1,1,Placed,9.1
F,62.3,70.3,66.3,Comm&Mgmt,No,77.1,98.6,79.6,3,2,Placed,14.0
F,62.9,72.8,69.5,Sci&Tech,No,72.9,76.0,59.4,1,2,Placed,9.1
M,69.5,54.9,70.3,Comm&Mgmt,Yes,64.9,59.9,69.1,1,2,Placed,8.3
F,76.0,62.6,66.5,Comm&Mgmt,No,70.0,59.4,66.7,1,1,Not Placed,0.0
M,82.0,65.5,73.0,Sci&Tech,No,72.9,66.7,58.9,1,1,Not Placed,0.0
F,63.2,66.2,63.4,Sci&Tech,Yes,46.5,64.6,74.0,0,4,Not Placed,0.0
F,88.4,85.4,59.7,Sci&Tech,No,77.5,83.6,64.1,1,2,Not Placed,0.0
M,69.0,76.7,77.2,Comm&Mgmt,No,60.2,70.6,77.2,0,1,Not Placed,0.0
M,71.8,56.7,77.3,Sci&Tech,No,58.2,57.8,58.2,3,2,Placed,9.0
F,63.8,73.0,63.0,Comm&Mgmt,Yes,51.8,94.5,88.9,0,2,Placed,12.2
M,45.3,76.0,80.0,Comm&Mgmt,No,50.5,68.7,60.1,1,3,Not Placed,0.0
M,81.7,83.7,64.7,Comm&Mgmt,No,55.7,78.8,72.4,0,1,Not Placed,0.0
M,80.1,89.0,73.5,Sci&Tech,Yes,63.5,59.5,78.7,0,1,Placed,8.0
F,68.9,57.8,79.2,Comm&Mgmt,Yes,95.4,73.1,63.7,2,3,Placed,11.5
F,72.7,60.3,70.7,Sci&Tech,No,65.7,72.4,79.4,0,1,Not Placed,0.0
M,77.7,54.9,75.5,Comm&Mgmt,Yes,74.1,41.5,56.5,0,1,Not Placed,0.0
M,54.8,67.2,65.8,Sci&Tech,No,76.8,96.2,86.0,1,4,Placed,12.0
M,66.2,75.6,69.0,Sci&Tech,No,73.6,86.1,70.2,0,2,Placed,9.9
F,80.7,81.8,68.9,Comm&Mgmt,Yes,71.1,62.4,63.4,0,2,Not Placed,0.0
M,58.2,69.1,63.5,Sci&Tech,No,57.7,52.6,66.7,2,1,Not Placed,0.0
F,75.2,66.2,69.2,Sci&Tech,No,89.4,72.9,78.9,2,1,Placed,9.4
M,57.1,71.8,55.5,Comm&Mgmt,No,93.7,69.2,63.6,2,1,Placed,7.1
F,77.1,60.0,66.1,Comm&Mgmt,No,51.8,73.0,61.8,2,3,Placed,9.2
M,71.6,95.1,68.2,Comm&Mgmt,No,59.7,70.7,67.6,1,2,Not Placed,0.0
M,54.2,50.7,68.4,Comm&Mgmt,Yes,68.6,75.1,57.1,0,3,Placed,9.8
M,84.8,72.2,68.6,Sci&Tech,No,60.4,88.3,90.0,2,4,Placed,12.1
F,63.9,94.3,70.4,Sci&Tech,No,78.1,76.0,63.8,2,2,Placed,10.5
F,63.1,70.1,75.8,Sci&Tech,Yes,63.3,53.3,79.1,2,1,Placed,9.1
M,74.2,67.7,79.7,Sci&Tech,No,98.0,87.1,72.3,1,2,Placed,12.1
F,84.6,65.7,64.5,Others,Yes,86.3,91.0,59.2,0,4,Placed,11.5
F,60.8,67.8,59.0,Comm&Mgmt,No,74.6,99.0,69.9,2,3,Placed,11.4
M,72.7,86.5,60.6,Sci&Tech,Yes,84.3,52.3,78.6,2,1,Placed,6.2
M,76.7,45.0,66.1,Sci&Tech,No,85.3,71.4,67.9,3,2,Placed,9.7
M,79.6,88.4,67.5,Others,No,65.2,38.9,83.1,0,2,Not Placed,0.0
M,73.9,52.9,63.3,Sci&Tech,Yes,62.2,75.7,81.2,0,4,Placed,8.9
F,68.0,66.8,58.0,Comm&Mgmt,Yes,72.9,60.3,80.1,0,1,Not Placed,0.0
F,62.9,64.8,66.4,Sci&Tech,Yes,82.3,94.9,64.9,2,2,Placed,13.9
F,72.9,77.1,72.8,Comm&Mgmt,No,73.7,57.2,58.1,0,3,Not Placed,0.0
M,60.2,50.8,77.0,Sci&Tech,Yes,53.1,44.4,63.3,0,2,Not Placed,0.0
M,45.0,75.5,65.4,Comm&Mgmt,No,62.4,61.4,72.2,3,2,Placed,8.5
F,76.8,94.3,66.9,Others,No,71.1,40.3,76.0,0,1,Not Placed,0.0
F,81.9,53.6,61.7,Comm&Mgmt,Yes,71.1,78.5,46.1,2,2,Placed,10.7
F,46.0,72.3,70.7,Comm&Mgmt,No,95.7,39.1,69.9,1,2,Not Placed,0.0
F,60.9,62.1,62.5,Others,No,55.4,68.4,71.7,2,4,Not Placed,0.0
F,78.8,75.1,76.7,Comm&Mgmt,Yes,78.1,38.9,66.9,1,2,Placed,6.2
M,94.6,70.2,53.1,Sci&Tech,Yes,89.9,63.5,84.2,2,2,Placed,7.0
M,72.2,62.3,67.4,Comm&Mgmt,Yes,99.0,91.0,74.6,3,2,Placed,14.2
F,64.0,75.9,74.0,Comm&Mgmt,No,67.1,73.0,84.4,0,1,Placed,9.0
F,70.0,91.7,72.8,Sci&Tech,No,77.9,55.9,67.6,0,2,Placed,5.7
M,87.1,67.7,97.9,Comm&Mgmt,No,78.8,67.6,80.3,0,3,Placed,10.3
M,64.9,78.6,74.5,Others,No,74.3,68.3,88.0,1,3,Placed,9.4
F,63.2,54.5,61.0,Others,No,70.8,74.6,84.4,2,2,Placed,8.8
M,66.7,58.5,70.0,Sci&Tech,No,77.2,48.9,58.0,1,2,Placed,5.5
M,61.5,75.7,53.2,Sci&Tech,No,41.6,76.3,67.2,1,1,Not Placed,0.0
M,73.3,87.8,70.2,Others,Yes,80.2,30.1,66.2,0,4,Not Placed,0.0
F,89.9,74.3,62.7,Comm&Mgmt,Yes,73.5,59.2,75.4,2,1,Placed,7.6
F,75.6,66.2,80.2,Sci&Tech,Yes,69.3,61.2,77.5,3,3,Placed,11.1
M,69.2,70.0,65.5,Others,Yes,96.6,76.9,60.8,0,2,Placed,9.3
F,68.8,55.0,69.8,Comm&Mgmt,No,63.9,68.3,70.7,1,4,Not Placed,0.0
M,54.8,77.3,64.6,Sci&Tech,No,67.2,48.3,47.8,0,3,Not Placed,0.0
M,81.7,80.6,88.4,Comm&Mgmt,Yes,95.9,54.2,85.9,1,3,Placed,8.8
F,71.1,64.6,67.8,Sci&Tech,Yes,62.0,70.8,64.4,1,1,Placed,9.2
F,70.0,64.4,89.3,Sci&Tech,No,65.4,66.9,70.6,0,2,Placed,9.5
F,98.0,73.2,79.1,Sci&Tech,No,70.2,59.9,66.6,1,2,Placed,8.0
F,75.3,64.8,75.8,Comm&Mgmt,Yes,82.1,61.3,82.6,1,3,Placed,8.6
M,63.7,69.2,74.7,Sci&Tech,No,74.5,77.7,38.8,1,1,Placed,10.7
M,67.3,95.2,74.9,Sci&Tech,Yes,56.5,60.8,69.8,1,4,Placed,9.8
M,84.6,67.0,51.7,Sci&Tech,Yes,65.6,66.8,68.8,0,3,Not Placed,0.0
M,73.2,65.7,68.2,Sci&Tech,No,64.7,98.4,65.0,2,2,Placed,13.3
M,56.2,62.2,79.5,Others,No,71.1,48.1,89.0,1,3,Placed,6.3
F,82.1,78.9,70.5,Sci&Tech,Yes,77.1,42.1,60.2,1,2,Placed,6.1
M,64.7,67.8,56.9,Sci&Tech,No,77.0,79.0,78.5,0,2,Not Placed,0.0
F,92.6,62.2,70.5,Comm&Mgmt,No,50.7,58.5,73.9,2,2,Not Placed,0.0
F,83.9,85.9,88.0,Sci&Tech,No,84.8,63.5,83.9,3,2,Placed,11.5
F,67.1,87.0,83.5,Sci&Tech,No,75.0,57.1,62.7,0,3,Placed,7.4
M,86.1,62.8,70.4,Sci&Tech,No,88.6,64.4,61.9,1,2,Placed,7.2
M,72.7,47.6,80.5,Sci&Tech,No,77.3,90.4,82.1,0,2,Placed,11.9
M,81.4,82.1,67.3,Sci&Tech,No,85.2,79.2,74.7,1,2,Placed,9.6
M,77.3,61.8,54.0,Sci&Tech,Yes,77.6,80.1,53.0,0,3,Placed,8.3
F,62.7,79.5,61.8,Sci&Tech,Yes,88.2,48.2,64.1,1,1,Placed,5.4
M,64.9,46.4,86.6,Others,Yes,78.3,51.9,74.3,1,3,Placed,8.9
M,83.3,80.7,68.3,Sci&Tech,No,70.8,30.0,79.2,1,2,Not Placed,0.0
F,68.3,55.5,68.6,Comm&Mgmt,Yes,99.0,56.7,62.5,1,2,Placed,7.5
M,67.6,78.8,68.0,Comm&Mgmt,No,82.7,81.4,37.9,1,1,Placed,9.8
F,61.5,70.2,90.0,Sci&Tech,No,78.9,75.2,75.8,1,2,Placed,11.2
F,76.7,58.6,87.3,Comm&Mgmt,Yes,56.7,64.9,56.6,0,3,Not Placed,0.0
F,94.7,65.1,93.2,Sci&Tech,No,56.5,67.7,47.8,0,2,Placed,9.7
M,60.3,78.2,69.4,Others,No,75.5,58.4,38.8,2,3,Not Placed,0.0
M,72.3,71.3,74.0,Sci&Tech,No,73.7,70.9,79.0,0,1,Placed,7.5
F,87.5,77.0,55.8,Sci&Tech,Yes,64.6,78.7,71.4,1,2,Placed,10.2
M,71.1,93.7,85.8,Sci&Tech,No,73.7,45.4,67.5,3,4,Placed,7.5
F,77.0,51.2,59.3,Others,No,91.1,72.2,85.3,0,3,Not Placed,0.0
F,60.3,89.4,73.2,Sci&Tech,No,80.3,81.1,77.0,1,1,Placed,11.0
F,76.7,71.3,60.0,Comm&Mgmt,No,58.3,62.2,87.8,1,2,Not Placed,0.0
M,69.9,59.2,65.1,Sci&Tech,No,70.7,77.8,54.7,2,1,Placed,10.4
M,82.8,54.0,62.6,Comm&Mgmt,No,62.3,99.0,69.6,3,2,Placed,13.5
F,85.1,67.7,64.9,Sci&Tech,No,67.3,66.5,52.2,2,3,Not Placed,0.0
M,98.0,81.1,65.6,Comm&Mgmt,No,67.0,73.5,67.5,0,3,Not Placed,0.0
M,78.4,68.5,65.5,Sci&Tech,Yes,66.3,57.7,67.3,1,1,Placed,7.2
M,75.6,88.1,79.3,Sci&Tech,No,56.9,70.5,76.9,1,4,Placed,10.1
F,74.1,52.6,60.0,Sci&Tech,No,70.5,74.4,70.5,1,2,Placed,7.9
F,68.1,69.9,73.2,Sci&Tech,No,65.3,70.7,76.9,0,2,Placed,8.3
M,75.7,55.0,83.2,Comm&Mgmt,Yes,40.0,53.7,77.7,0,2,Not Placed,0.0
M,68.8,74.4,65.9,Sci&Tech,No,96.6,70.9,93.7,2,2,Placed,9.0
F,73.9,80.6,63.8,Comm&Mgmt,No,85.1,88.5,66.5,1,2,Placed,10.0
F,86.5,65.0,68.7,Sci&Tech,No,67.5,74.3,59.6,1,2,Not Placed,0.0
M,60.9,45.0,82.8,Sci&Tech,Yes,72.2,81.5,72.7,1,2,Placed,13.1
M,84.5,72.4,72.9,Sci&Tech,No,57.9,64.7,61.2,2,1,Placed,8.8
F,86.5,75.2,65.7,Sci&Tech,No,92.3,78.5,86.3,2,3,Placed,10.4
F,70.7,74.9,75.8,Comm&Mgmt,Yes,94.8,71.9,66.9,0,2,Placed,9.1
F,48.7,84.8,60.0,Sci&Tech,No,73.9,54.7,63.8,0,1,Not Placed,0.0
F,65.3,57.1,77.8,Sci&Tech,No,84.3,72.5,64.8,0,3,Not Placed,0.0
M,86.3,78.2,75.1,Comm&Mgmt,No,74.1,54.1,77.9,3,4,Placed,8.0
M,71.7,84.3,67.9,Others,No,56.0,59.1,68.3,1,4,Placed,6.7
F,61.0,48.7,62.6,Sci&Tech,No,67.1,70.7,62.9,1,2,Not Placed,0.0
F,66.4,73.8,62.1,Sci&Tech,No,73.6,72.2,88.3,1,1,Placed,7.3
F,81.2,63.9,76.3,Comm&Mgmt,No,66.5,51.4,60.6,1,2,Not Placed,0.0
F,78.0,69.0,83.3,Sci&Tech,No,69.4,82.8,70.4,2,1,Placed,12.7
M,69.4,74.2,64.6,Sci&Tech,Yes,70.9,76.0,77.2,1,4,Placed,10.2
M,68.0,64.2,75.6,Sci&Tech,No,71.0,58.1,52.1,0,1,Not Placed,0.0
F,67.7,61.9,50.1,Comm&Mgmt,No,72.6,46.5,75.3,0,2,Not Placed,0.0
F,61.9,70.4,65.2,Comm&Mgmt,No,59.3,66.0,58.4,1,2,Not Placed,0.0
F,89.8,57.0,70.7,Sci&Tech,No,63.4,61.8,79.1,3,2,Placed,9.0
F,68.5,57.0,61.9,Sci&Tech,No,56.6,69.6,59.4,1,3,Not Placed,0.0
