roll_number,department,cgpa,backlogs,internships,technical_skills,technical_skills_count,communication_score,ssc_percentage,hsc_percentage,placement_status,package_offered
EEE20220049,EEE,6.47,0,2,"Django, JavaScript, C++",3,8,77.8,72,Not Placed,
IT20230050,IT,8.41,0,0,"Flask, AWS",2,3,82.4,93.1,Placed,12.7
MECH20240051,MECH,5.54,0,0,"React, Java, Machine Learning",3,4,82.1,68.5,Not Placed,
CIVIL20210052,CIVIL,7.16,0,1,Excel,1,4,80.3,72.5,Not Placed,
IT20220053,IT,6.48,0,0,"Java, Data Structures, JavaScript",3,6,75.5,69.1,Not Placed,
MECH20230054,MECH,7.95,0,1,"C++, Flask",2,7,81.4,76.9,Placed,11.3
ECE20240055,ECE,6.6,1,0,"Excel, SQL, Communication, Android",4,4,82,65.6,Placed,13.1
IT20210056,IT,6.81,2,0,"Flask, Django, Java, Communication",4,4,98.8,69.1,Placed,9.8
CSE20220057,CSE,6.51,0,3,"React, Python, Django",3,4,75.8,80.1,Not Placed,
CIVIL20230058,CIVIL,5.82,0,0,"Flask, Communication, Android, Data Structures, Excel",5,5,73.6,69.3,Placed,12.8
CSE20240059,CSE,7.51,0,0,"JavaScript, Flask, Machine Learning, React, C++",5,5,96.9,83.4,Placed,10.7
EEE20210060,EEE,7.29,0,0,React,1,6,92.4,70.3,Placed,11
EEE20220061,EEE,7.94,0,1,"C++, Python, React, Android, JavaScript",5,7,89.1,80.8,Placed,14.6
EEE20230062,EEE,7.51,0,0,"AWS, Communication, Excel, JavaScript",4,6,78.4,62.8,Placed,12.8
CIVIL20240063,CIVIL,7.36,0,0,"Communication, Flask",2,7,75.1,76.6,Placed,10.1
CSE20210064,CSE,7.05,0,1,"React, Flask, Java, Communication, Android",5,7,86.6,59.7,Placed,11.1
CIVIL20220065,CIVIL,7.59,1,3,"Communication, JavaScript, AWS",3,6,75.3,88.9,Placed,12
ECE20230066,ECE,7.61,1,2,Data Structures,1,4,80.6,86.2,Placed,11.6
MECH20240067,MECH,7.09,0,1,"JavaScript, Flask, Java, Excel",4,4,87.7,81.7,Placed,9.2
CSE20210068,CSE,7.12,0,0,Python,1,6,61.7,72.8,Placed,9.5
EEE20220069,EEE,7.45,1,0,"JavaScript, Python",2,5,92.5,78.2,Placed,10.5
CIVIL20230070,CIVIL,7.38,0,1,"Android, Python, Communication, AWS, Excel",5,10,74.6,71.8,Not Placed,
CSE20240071,CSE,5.38,0,0,"SQL, Android, Java, AWS",4,4,74.2,62.9,Not Placed,
CSE20210072,CSE,6.87,0,2,"Machine Learning, Communication",2,8,77.7,73.4,Placed,12
CIVIL20220073,CIVIL,7.18,0,2,Communication,1,8,84.2,49.4,Placed,8.2
ECE20230074,ECE,8.59,2,1,"Java, Machine Learning, JavaScript, Excel, SQL",5,5,62.4,67,Placed,13.3
CSE20240075,CSE,7.54,0,2,"Flask, Excel",2,7,75.9,73.2,Placed,13.7
EEE20210076,EEE,7.89,3,3,"JavaScript, Python",2,7,80.8,84,Placed,7
MECH20220077,MECH,8.17,0,1,JavaScript,1,6,77.8,93,Not Placed,
MECH20230078,MECH,5.53,0,1,Python,1,8,84.4,71.4,Not Placed,
MECH20240079,MECH,6.93,1,0,React,1,8,76.6,75.1,Not Placed,
CIVIL20210080,CIVIL,8.34,0,1,"Django, Android, Python, Data Structures",4,7,65,76.5,Not Placed,
EEE20220081,EEE,7.03,0,1,"Android, AWS, Communication",3,7,71,66.1,Placed,10.3
CSE20230082,CSE,7.66,0,0,"Django, AWS, SQL, Data Structures, Java",5,6,82.4,77,Placed,14.1
CSE20240083,CSE,6.08,1,0,"Communication, React",2,5,75.6,86.2,Placed,12.1
ECE20210084,ECE,8.66,0,1,"Django, Excel, JavaScript, Java, Flask",5,6,98.6,67.8,Placed,15.2
MECH20220085,MECH,6.21,0,0,"Machine Learning, Android, AWS, Python, C++",5,5,71.9,75.3,Placed,11
CIVIL20230086,CIVIL,6.72,0,2,"React, Java, SQL, JavaScript, Communication",5,5,77.6,80,Placed,11.6
EEE20240087,EEE,7.98,0,1,AWS,1,7,76.1,71.4,Placed,11.2
ECE20210088,ECE,5.75,0,1,"Communication, AWS, Flask, Machine Learning",4,7,97.9,74.9,Placed,11.9
EEE20220089,EEE,6.71,0,0,"Java, Android",2,8,83.7,76.1,Placed,10.1
MECH20230090,MECH,6.31,0,0,"Python, Flask, Excel, Communication, JavaScript",5,6,82.2,74.4,Placed,12
CIVIL20240091,CIVIL,6.69,0,0,"SQL, Excel, Java, AWS",4,5,80.4,69.3,Not Placed,
MECH20210092,MECH,7.08,0,1,"Python, C++, Communication, SQL, Excel",5,8,87.7,72.2,Placed,10.3
EEE20220093,EEE,7.17,0,1,"SQL, Data Structures, Machine Learning",3,5,74.3,81.6,Placed,9.3
CSE20230094,CSE,7.49,0,2,"Java, Android, Excel",3,6,77.9,86.8,Placed,13
ECE20240095,ECE,7.72,0,3,"Python, C++, Communication",3,5,88.4,66.2,Placed,9.5
CSE20210096,CSE,8.1,0,1,"C++, JavaScript, SQL, Python",4,5,75.4,72.7,Placed,13.3
EEE20220097,EEE,7.18,0,0,"Django, Communication, Data Structures, Machine Learning",4,6,70.7,72.9,Placed,10.3
CIVIL20230098,CIVIL,7.05,1,1,"Data Structures, SQL, Python, Excel",4,6,81.9,81.6,Not Placed,
ECE20240099,ECE,7.19,0,0,Django,1,7,89.8,70.5,Placed,11.9
CSE20210100,CSE,6.37,0,0,"SQL, Android, Python",3,7,84.5,84.9,Placed,9.4
IT20220101,IT,7.9,1,2,"Machine Learning, Communication",2,8,79.9,44.8,Placed,13.1
EEE20230102,EEE,6.68,0,2,"React, Excel, JavaScript, Python",4,9,78.6,73,Placed,10.7
MECH20240103,MECH,7.7,0,1,Android,1,5,80.9,69.8,Placed,11.4
IT20210104,IT,5.96,0,0,"Data Structures, Django",2,6,63.9,77.9,Placed,10
IT20220105,IT,7.29,0,0,Machine Learning,1,6,74.3,71.9,Not Placed,
IT20230106,IT,8.02,0,2,"Data Structures, React, Machine Learning",3,5,77.8,68.3,Placed,12.2
MECH20240107,MECH,8.72,0,1,React,1,7,70.6,65,Not Placed,
CSE20210108,CSE,7.71,0,0,Data Structures,1,7,83.5,76.6,Not Placed,
ECE20220109,ECE,6.87,0,1,"Android, Flask, Java",3,6,72.2,73.4,Not Placed,
ECE20230110,ECE,8.44,2,1,"Android, JavaScript, Java",3,7,90.7,67,Not Placed,
ECE20240111,ECE,7.3,0,0,Python,1,6,72.2,67.7,Placed,12.1
CIVIL20210112,CIVIL,6.9,0,2,"Communication, C++, Java, Excel",4,5,70.4,78.8,Placed,10
MECH20220113,MECH,7.53,0,1,"JavaScript, Android, Machine Learning, Python, Data Structures",5,7,80.6,76.7,Placed,11.5
EEE20230114,EEE,6.2,1,2,"AWS, Machine Learning, React, Communication",4,5,65,76.5,Placed,13.3
EEE20240115,EEE,7.66,0,3,"JavaScript, Flask, Excel, Java",4,5,80.6,64.4,Placed,13.6
MECH20210116,MECH,7.66,1,2,"Android, JavaScript",2,6,83.1,85,Placed,11.1
CSE20220117,CSE,8.47,0,2,"Java, Data Structures, JavaScript",3,6,81.4,71.1,Placed,13.1
EEE20230118,EEE,7.51,0,0,"Data Structures, Android, React",3,5,62.9,72.3,Placed,13.3
CIVIL20240119,CIVIL,7.3,0,0,"Machine Learning, Communication, React, Data Structures, Java",5,7,89.1,64,Placed,13.1
EEE20210120,EEE,7.13,0,0,"Python, Excel, Java, JavaScript, Flask",5,7,75.2,71.8,Placed,12.4
IT20220121,IT,7.33,0,3,"Machine Learning, React, Java",3,5,65.6,76,Placed,10.6
EEE20230122,EEE,7.27,0,0,"Java, SQL, C++, Machine Learning, Django",5,4,75.5,68.2,Not Placed,
CSE20240123,CSE,7.14,2,0,"Data Structures, React, AWS, SQL, Communication",5,5,89.8,68.6,Not Placed,
CSE20210124,CSE,8.65,0,1,"Android, AWS, React",3,7,60.8,68.5,Not Placed,
MECH20220125,MECH,7.39,1,2,"Communication, C++",2,7,78.5,68.3,Placed,13
CIVIL20230126,CIVIL,7.07,1,1,"JavaScript, React",2,9,72,66.5,Placed,9.2
EEE20240127,EEE,7.72,0,0,JavaScript,1,2,74.8,76.2,Not Placed,
IT20210128,IT,7.44,0,0,"C++, Data Structures",2,8,69.1,75.9,Placed,10.4
EEE20220129,EEE,8.16,0,2,"Machine Learning, Excel, Flask, SQL, Android",5,8,81,74,Placed,13.1
IT20230130,IT,6.49,0,0,"React, Machine Learning, Android, Communication",4,5,62.2,81.7,Not Placed,
ECE20240131,ECE,6.8,0,1,"Machine Learning, Flask, Data Structures",3,4,65.8,77.2,Placed,9.6
EEE20210132,EEE,7.23,1,1,"Data Structures, Excel, Machine Learning",3,4,71.3,80.8,Not Placed,
EEE20220133,EEE,6.55,1,1,"Django, Python, C++, JavaScript, Communication",5,4,71.6,65.1,Placed,10.2
IT20230134,IT,8.29,0,2,"Communication, Machine Learning, Django, React, Excel",5,5,87.7,62,Placed,11.5
ECE20240135,ECE,7.07,0,1,Python,1,9,83.4,78.5,Placed,11.7
CIVIL20210136,CIVIL,8.24,0,0,Python,1,6,89.8,70.7,Placed,9.6
CIVIL20220137,CIVIL,6.29,0,0,"Android, SQL",2,5,85.1,58.5,Not Placed,
CSE20230138,CSE,7.17,0,2,"Excel, React, Android",3,5,87,72.5,Not Placed,
ECE20240139,ECE,6.5,0,1,"Java, Excel",2,2,76.9,87.8,Placed,11.9
MECH20210140,MECH,9.22,3,0,Python,1,5,58.6,74.7,Placed,11.3
CIVIL20220141,CIVIL,9.09,0,1,"Java, Machine Learning",2,4,84.5,78.4,Placed,10.7
CSE20230142,CSE,7.24,0,2,Communication,1,4,76.2,66.1,Not Placed,
EEE20240143,EEE,6.42,0,2,Excel,1,5,71.9,76.2,Placed,11.6
EEE20210144,EEE,5.98,1,0,"Python, Django, Machine Learning",3,6,80,73,Not Placed,
MECH20220145,MECH,8.54,0,1,"Data Structures, C++",2,7,93.9,69,Placed,12.7
EEE20230146,EEE,8.62,0,0,"React, Data Structures, Flask, SQL",4,4,76.1,79.2,Not Placed,
ECE20240147,ECE,6.57,2,3,"Flask, Communication",2,8,83.2,76.7,Not Placed,
CSE20210148,CSE,7.24,0,1,"AWS, Django",2,7,72.3,76.4,Placed,13.7
CIVIL20220149,CIVIL,7.03,0,1,Python,1,6,68.4,74.9,Placed,12.9
CSE20230150,CSE,8,0,3,Java,1,6,77.9,80.5,Placed,13
IT20240151,IT,5.48,0,0,"Machine Learning, React, Python, AWS, Django",5,6,70.4,71.3,Placed,11.8
IT20210152,IT,7.03,1,1,"Android, Excel, React, Python, JavaScript",5,7,66.4,74.9,Not Placed,
MECH20220153,MECH,8.01,0,2,"SQL, React, Django, Java, Flask",5,7,54.6,86.2,Placed,11.4
MECH20230154,MECH,6.67,0,0,"Flask, Python",2,8,84.6,72.7,Placed,12.3
CSE20240155,CSE,6.04,1,0,JavaScript,1,3,79.1,59.3,Not Placed,
CSE20210156,CSE,6.11,0,0,"Excel, SQL",2,6,75.8,77,Placed,11.4
MECH20220157,MECH,8.23,2,1,"Django, JavaScript",2,4,74.9,81.3,Not Placed,
MECH20230158,MECH,7.96,1,1,"Python, JavaScript, Java",3,9,78.3,72.9,Not Placed,
CSE20240159,CSE,7.44,1,0,"Excel, Machine Learning, SQL, Java, Data Structures",5,8,93.5,75.6,Placed,11
CSE20210160,CSE,6.2,0,1,"JavaScript, SQL, Excel",3,8,79.3,79.5,Placed,10.3
MECH20220161,MECH,6.37,0,1,"C++, Machine Learning",2,6,66.4,76.6,Placed,9.4
CSE20230162,CSE,7.38,0,1,JavaScript,1,5,87.5,84.1,Not Placed,
MECH20240163,MECH,7.55,1,1,"React, Excel, Android, Data Structures",4,4,76.2,74.6,Not Placed,
CIVIL20210164,CIVIL,6.42,1,3,"Flask, React, Java, JavaScript, Machine Learning",5,6,65.2,71,Placed,11.9
CSE20220165,CSE,7.71,0,0,"Django, Python",2,9,75.6,89.5,Placed,12.7
ECE20230166,ECE,6.51,0,3,Machine Learning,1,6,86.6,96.3,Placed,10.2
IT20240167,IT,8.34,0,3,"AWS, Communication, Android, C++",4,5,63.8,68.8,Placed,12.2
EEE20210168,EEE,7.91,1,1,"React, SQL, Flask, C++",4,7,75.3,69.5,Placed,10.2
IT20220169,IT,5.97,0,0,"Java, C++, Data Structures, Android, JavaScript",5,7,75.7,77.8,Placed,7.8
CIVIL20230170,CIVIL,7,0,2,"JavaScript, Excel, Data Structures, AWS",4,2,78.8,85.1,Placed,10.1
CIVIL20240171,CIVIL,6.74,0,0,Communication,1,7,90.4,74.6,Placed,10.7
CSE20210172,CSE,7.69,0,1,"AWS, Data Structures",2,10,75.3,67.9,Placed,11.1
MECH20220173,MECH,6.51,0,1,C++,1,6,92.1,78.3,Placed,10.8
ECE20230174,ECE,7.03,1,3,SQL,1,5,75.8,83.5,Placed,9.4
CIVIL20240175,CIVIL,7.12,0,0,"SQL, Excel, React",3,5,60.4,83.1,Placed,13.1
MECH20210176,MECH,8.4,1,0,"Flask, Communication, Java",3,4,83.3,66.7,Not Placed,
MECH20220177,MECH,6.27,0,2,"JavaScript, Android, React",3,7,71.2,69.1,Placed,9.7
CIVIL20230178,CIVIL,7.97,0,1,"Data Structures, Python, SQL, AWS, Django",5,5,83.9,86.7,Placed,12.5
EEE20240179,EEE,7.87,0,0,"C++, Excel, Communication, Machine Learning, Django",5,7,64.4,72.7,Placed,13.3
MECH20210180,MECH,7.73,0,0,"AWS, C++, Data Structures, Python",4,7,82.9,65.8,Placed,11.5
IT20220181,IT,9.01,1,1,"JavaScript, Django, Python",3,8,79.2,75.2,Placed,14
EEE20230182,EEE,7.69,2,1,"JavaScript, Communication, Java",3,8,75.2,70.3,Placed,11.7
CSE20240183,CSE,6.9,0,2,"Django, Excel, Python, AWS",4,7,90.4,82.7,Placed,11.6
EEE20210184,EEE,7.89,0,0,"C++, Java, React, AWS",4,6,74.4,76.8,Placed,10.8
CSE20220185,CSE,8.27,0,0,"JavaScript, Python, Data Structures, Excel, React",5,6,80.7,77.8,Placed,11.8
MECH20230186,MECH,6.76,0,0,"JavaScript, Python, Django, SQL, Communication",5,5,67.6,70.9,Placed,11.8
CIVIL20240187,CIVIL,7.41,0,0,SQL,1,4,66.6,82,Not Placed,
CSE20210188,CSE,6.83,0,2,"JavaScript, Communication",2,7,68.5,70.5,Placed,11.1
CSE20220189,CSE,6.07,0,2,"Python, C++, AWS",3,7,77.3,75.9,Placed,10.8
CIVIL20230190,CIVIL,8.3,0,0,"Java, SQL, Excel, Python, Communication",5,5,87.4,76.7,Placed,12.3
CSE20240191,CSE,6.72,0,1,"React, Java, SQL, Django, AWS",5,5,75.9,82.5,Placed,11.5
CSE20210192,CSE,7.52,0,2,"React, Flask, Android, Communication, JavaScript",5,6,94.2,72.5,Placed,13
CSE20220193,CSE,7.88,0,1,"C++, Django",2,6,78.7,82.9,Placed,13.7
IT20230194,IT,8.21,0,0,React,1,5,73.1,60.2,Not Placed,
MECH20240195,MECH,7.5,0,0,"Machine Learning, AWS, React, JavaScript",4,7,85.9,84.3,Not Placed,
IT20210196,IT,6.21,3,1,"Machine Learning, Django",2,6,64.8,75.1,Not Placed,
CSE20220197,CSE,6.35,0,2,Communication,1,9,87.1,65,Placed,10.6
IT20230198,IT,6.54,0,1,Python,1,4,76.1,76.1,Placed,8.7
CSE20240199,CSE,7.04,1,0,"Communication, Excel, Django",3,6,76.3,69.2,Not Placed,
MECH20210200,MECH,6.79,1,0,"Flask, Java",2,4,72.4,81.8,Placed,11.3
CIVIL20220201,CIVIL,7.59,2,2,"Machine Learning, Excel, Communication, Java, AWS",5,4,79.6,71,Placed,13.6
IT20230202,IT,7.18,0,0,Data Structures,1,5,79.3,75.5,Not Placed,
EEE20240203,EEE,7.58,0,0,"Android, Python, SQL, Machine Learning, Flask",5,8,75.7,67.9,Placed,14.7
CSE20210204,CSE,7.22,0,2,"Django, Python, Machine Learning",3,6,72.9,61.3,Placed,9.7
CIVIL20220205,CIVIL,8.28,0,1,"Communication, Python",2,6,76.5,77.8,Placed,9.9
ECE20230206,ECE,6.53,0,1,Flask,1,8,74.2,75.7,Not Placed,
IT20240207,IT,6.9,0,1,Django,1,7,80,73.3,Placed,9.3
CIVIL20210208,CIVIL,6.67,0,1,"JavaScript, Python",2,6,75.1,74.3,Placed,9.8
CIVIL20220209,CIVIL,7.54,0,0,"Python, AWS, SQL, Java",4,4,75.5,68.7,Placed,10.1
MECH20230210,MECH,7.53,1,1,"React, SQL, Data Structures, Java, Android",5,7,82,91.6,Placed,14.4
MECH20240211,MECH,6.43,0,3,"Machine Learning, JavaScript, Android",3,4,68.1,68.4,Placed,10.2
CIVIL20210212,CIVIL,6.12,0,3,"React, Data Structures, Machine Learning, Android, Flask",5,7,85.1,91.5,Placed,13.4
IT20220213,IT,7.47,0,0,"JavaScript, Python, React, Communication, Flask",5,5,52.1,80,Not Placed,
ECE20230214,ECE,6.2,0,1,"C++, Machine Learning, Android, SQL",4,9,90.2,81.6,Placed,13.6
CIVIL20240215,CIVIL,7.53,0,3,"React, JavaScript, SQL, Python",4,5,80.9,63.9,Placed,15.2
CSE20210216,CSE,7.09,3,0,"Python, SQL",2,6,85.5,75.1,Not Placed,
MECH20220217,MECH,9.78,2,2,"Java, AWS, Python, Excel, Flask",5,8,87.3,74,Placed,13.7
MECH20230218,MECH,6.41,0,2,"React, AWS, Java, Android, Flask",5,5,79.9,80.8,Placed,13.3
CIVIL20240219,CIVIL,7.4,0,3,"Django, JavaScript, Java",3,5,67.2,64.8,Placed,11.2
CSE20210220,CSE,8.23,0,1,"Data Structures, Python, JavaScript, Java, React",5,6,88.8,68.1,Placed,14.1
EEE20220221,EEE,7.86,0,1,"Java, Python, JavaScript",3,5,81.3,74.5,Placed,10.1
IT20230222,IT,7.54,0,0,Machine Learning,1,6,90.6,60.5,Placed,11.6
ECE20240223,ECE,8.82,2,1,"Flask, Android",2,7,79.4,80.6,Placed,12.2
CSE20210224,CSE,6.07,0,3,"Machine Learning, Python, Communication, Django, Java",5,6,61.5,68.8,Not Placed,
CIVIL20220225,CIVIL,6.93,0,0,"Communication, React, Data Structures",3,5,70,75.6,Placed,11.4
MECH20230226,MECH,8.12,0,0,"AWS, Data Structures, Android, Excel",4,9,80.7,65.2,Placed,12.5
CIVIL20240227,CIVIL,8.13,2,1,"JavaScript, Communication, Java, Android, SQL",5,5,70.3,69.5,Not Placed,
CIVIL20210228,CIVIL,7,1,3,"Data Structures, Django",2,9,72.6,71.4,Placed,11.3
CSE20220229,CSE,8.29,0,0,"C++, Communication, Android, Django",4,2,65.9,74,Placed,12.4
IT20230230,IT,7.1,0,0,"AWS, JavaScript, Python, Communication",4,5,74.2,63.7,Placed,14
CSE20240231,CSE,8.91,0,3,Data Structures,1,9,82.8,70.6,Placed,12.9
ECE20210232,ECE,6.49,0,1,React,1,6,69.1,90.9,Placed,8.3
IT20220233,IT,7.66,0,1,"Communication, C++, JavaScript, Java, Excel",5,5,67.5,79.5,Placed,11.6
ECE20230234,ECE,7.55,0,0,"Python, Java, Flask, AWS, Data Structures",5,2,73.6,93.7,Not Placed,
MECH20240235,MECH,8.43,0,1,Python,1,4,87.1,59.4,Placed,12.7
MECH20210236,MECH,6.23,0,0,"JavaScript, Machine Learning, C++, React, SQL",5,4,78.3,58.3,Placed,10.3
ECE20220237,ECE,7.78,0,1,React,1,6,79.9,68.2,Not Placed,
IT20230238,IT,8.26,0,0,Flask,1,7,71.4,64.5,Not Placed,
ECE20240239,ECE,5.86,0,1,React,1,6,88.7,85.6,Not Placed,
MECH20210240,MECH,6.84,0,0,"SQL, Python, Communication, Excel",4,5,63.5,65.5,Not Placed,
CSE20220241,CSE,6.8,0,0,"Data Structures, Flask, Python, JavaScript",4,5,77.4,79.4,Placed,11.3
CIVIL20230242,CIVIL,7,1,3,Machine Learning,1,8,72.5,61.4,Not Placed,
EEE20240243,EEE,6.16,0,1,"Python, Data Structures, Machine Learning",3,6,80.9,75.1,Placed,7.5
CIVIL20210244,CIVIL,8.13,0,0,"Excel, C++, Django",3,7,77.5,75.7,Placed,15.5
ECE20220245,ECE,7.44,1,3,Python,1,5,58.8,79.1,Placed,11.1
ECE20230246,ECE,8.06,0,3,"Flask, SQL",2,7,77.3,76.2,Placed,7.5
CSE20240247,CSE,5.94,0,1,"React, Data Structures",2,8,74.9,79.6,Placed,9.4
ECE20210248,ECE,5.93,0,3,"SQL, Flask, Android, JavaScript, C++",5,5,81.8,81.1,Placed,12.4
IT20220249,IT,8.1,0,0,"Android, AWS, C++, JavaScript, Django",5,6,74.4,69.8,Not Placed,
IT20230250,IT,8.18,3,2,Machine Learning,1,6,65,77.6,Placed,10.4
ECE20240251,ECE,6.59,0,1,"JavaScript, C++, Data Structures, Android, React",5,6,81.1,74.6,Placed,10.1
EEE20210252,EEE,7.49,0,2,"Communication, Java",2,9,76.7,73.4,Placed,9.4
EEE20220253,EEE,6.9,0,2,"Data Structures, Excel, Communication, Django",4,9,76.1,62.7,Placed,12.7
ECE20230254,ECE,8.15,2,0,"Communication, JavaScript, React, C++, Android",5,5,80.2,74.6,Not Placed,
CSE20240255,CSE,7.36,0,0,"Android, React, Communication, C++",4,4,88.6,77.7,Placed,10
ECE20210256,ECE,6.4,0,1,"Flask, Communication, Data Structures, C++, JavaScript",5,7,80.7,53.9,Placed,10.5
MECH20220257,MECH,6.96,1,1,"SQL, React",2,7,73.3,68,Not Placed,
EEE20230258,EEE,6.92,2,0,"React, Flask, Excel, Python",4,8,72.8,78.4,Placed,11.1
CSE20240259,CSE,6.68,0,3,Django,1,1,90.1,78.6,Not Placed,
MECH20210260,MECH,6.88,0,0,"Communication, Android, SQL, Flask",4,9,88.7,58.7,Not Placed,
MECH20220261,MECH,8.64,1,0,"React, SQL",2,4,78.3,79.9,Not Placed,
CIVIL20230262,CIVIL,8.57,1,3,"Python, Excel, AWS, Data Structures, JavaScript",5,7,63.1,82.8,Placed,13.9
ECE20240263,ECE,6.87,0,1,"Communication, Machine Learning, C++, Java, Django",5,4,85.4,79.8,Placed,12.7
CIVIL20210264,CIVIL,8.01,0,0,Django,1,4,88.5,76.2,Not Placed,
MECH20220265,MECH,6.45,0,1,"Machine Learning, SQL, React, Python",4,7,65.3,69,Placed,11.7
IT20230266,IT,5.67,0,2,"JavaScript, C++, Data Structures, AWS, Communication",5,4,71.6,81.9,Placed,11.7
CSE20240267,CSE,7.11,0,0,Communication,1,3,72.3,69.5,Not Placed,
IT20210268,IT,6.73,0,1,"AWS, Communication, Data Structures, Flask, React",5,3,91.5,91.6,Placed,13.3
